Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,6866,species,Horned Grebe,Podiceps auritus,1,North Vancouver--Maplewood Flats Conservation Area,CA-BC,05 Apr 2026,L164543,S317612412,,1
2,26848,species,Golden-crowned Kinglet,Regulus satrapa,1,Skwelwil'em Squamish River Estuary -- Spit (west of Central Channel),CA-BC,23 Feb 2026,L6584622,S303339978,,1
3,6061,species,Long-billed Dowitcher,Limnodromus scolopaceus,17,Burnaby Lake--Piper Spit,CA-BC,24 Jan 2026,L843052,S296264702,,1
4,700,species,Lesser Scaup,Aythya affinis,20,Burnaby Lake--Piper Spit,CA-BC,24 Jan 2026,L843052,S296264702,,1
5,748,species,Barrow's Goldeneye,Bucephala islandica,2,Vancouver--Sunset Beach Park,CA-BC,02 Jan 2026,L28950917,S291975980,,1
6,28126,species,Eastern Bluebird,Sialia sialis,2,Newport Park,US-WI,21 Nov 2025,L38695834,S285506868,,1
7,33755,species,Altamira Oriole,Icterus gularis,1,Playa Puerto Morelos,MX-ROO,08 Nov 2025,L17012759,S283582924,,1
8,33740,species,Orange Oriole,Icterus auratus,1,Playa Puerto Morelos,MX-ROO,08 Nov 2025,L17012759,S283582924,,1
9,11183,species,Golden-fronted Woodpecker,Melanerpes aurifrons,1,Playa Puerto Morelos,MX-ROO,08 Nov 2025,L17012759,S283582924,,1
10,34171,species,Yellow-throated Warbler,Setophaga dominica,1,Playa Puerto Morelos,MX-ROO,08 Nov 2025,L17012759,S283489417,,1
11,5100,species,Cinnamon Hummingbird,Amazilia rutila,1,Playa Puerto Morelos,MX-ROO,08 Nov 2025,L17012759,S283489417,,1
12,2389,species,White-winged Dove,Zenaida asiatica,1,Playa Puerto Morelos,MX-ROO,08 Nov 2025,L17012759,S283489417,,1
13,6775,species,Sandwich Tern,Thalasseus sandvicensis,2,The Fives Oceanfront - Puerto Morelos,MX-ROO,06 Nov 2025,L18036114,S283198766,,1
14,34079,species,Magnolia Warbler,Setophaga magnolia,1,Yaax Che Jardín Botánico del Dr. Alfredo Barrera Marín,MX-ROO,06 Nov 2025,L2286958,S283137230,,1
15,34057,species,Hooded Warbler,Setophaga citrina,1,Yaax Che Jardín Botánico del Dr. Alfredo Barrera Marín,MX-ROO,06 Nov 2025,L2286958,S283137230,,1
16,33953,species,Northern Waterthrush,Parkesia noveboracensis,1,Yaax Che Jardín Botánico del Dr. Alfredo Barrera Marín,MX-ROO,06 Nov 2025,L2286958,S283137230,,1
17,19136,species,Lesser Greenlet,Pachysylvia decurtata,3,Yaax Che Jardín Botánico del Dr. Alfredo Barrera Marín,MX-ROO,06 Nov 2025,L2286958,S283137230,,1
18,2325,species,White-tipped Dove,Leptotila verreauxi,1,Yaax Che Jardín Botánico del Dr. Alfredo Barrera Marín,MX-ROO,06 Nov 2025,L2286958,S283137230,,1
19,33864,species,Great-tailed Grackle,Quiscalus mexicanus,1,Playa Puerto Morelos,MX-ROO,05 Nov 2025,L17012759,S283033882,,1
20,15002,species,White-throated Treerunner,Pygarrhichas albogularis,1,RN Cerro Castillo--Camino Neozelandés,CL-AI,30 Oct 2025,L7267924,S282085666,,1
21,14366,species,Black-throated Huet-huet,Pteroptochos tarnii,1,RN Cerro Castillo--Camino Neozelandés,CL-AI,30 Oct 2025,L7267924,S282085666,,1
22,11569,species,Magellanic Woodpecker,Campephilus magellanicus,1,RN Cerro Castillo--Camino Neozelandés,CL-AI,30 Oct 2025,L7267924,S282085666,,1
23,15431,species,Sharp-billed Canastero,Asthenes pyrrholeuca,1,Cerro Castillo--Camino al aeropuerto,CL-AI,29 Oct 2025,L27741407,S281950298,,1
24,11480,species,Striped Woodpecker,Veniliornis lignarius,1,PN Patagonia--Sendero Lagunas Altas,CL-AI,26 Oct 2025,L10956293,S281768926,,1
25,9053,species,Austral Pygmy-Owl,Glaucidium nana,1,PN Patagonia--Sendero Lagunas Altas,CL-AI,26 Oct 2025,L10956293,S281768926,,1
26,8458,species,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,1,PN Patagonia--Sendero Lagunas Altas,CL-AI,26 Oct 2025,L10956293,S281768926,,1
27,432,species,Flying Steamer-Duck,Tachyeres patachonicus,1,PN Patagonia--Sendero Lagunas Altas,CL-AI,26 Oct 2025,L10956293,S281768926,,1
28,13076,species,Austral Parakeet,Enicognathus ferrugineus,20,PN Patagonia--Sendero Lagunas Altas,CL-AI,25 Oct 2025,L10956293,S281768884,,1
29,17099,species,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,1,PN Patagonia--Humedal km 30,CL-AI,25 Oct 2025,L12429562,S281768804,,1
30,17102,species,White-browed Ground-Tyrant,Muscisaxicola albilora,1,PN Patagonia--Laguna Flamencos,CL-AI,25 Oct 2025,L6810901,S281768736,,1
31,17076,species,Spectacled Tyrant,Hymenops perspicillatus,6,PN Patagonia--Laguna Flamencos,CL-AI,25 Oct 2025,L6810901,S281768736,,1
32,15087,species,Buff-winged Cinclodes,Cinclodes fuscus,1,"PN Patagonia--Humedal km 3,3",CL-AI,25 Oct 2025,L12559921,S281230822,,1
33,5486,species,Red-gartered Coot,Fulica armillata,1,"PN Patagonia--Humedal km 3,3",CL-AI,25 Oct 2025,L12559921,S281230822,,1
34,6116,species,Magellanic Snipe,Gallinago magellanica,3,Río Ñirehuao--Laguna Ruta X-565,CL-AI,23 Oct 2025,L12894067,S281011766,,1
35,33600,species,Long-tailed Meadowlark,Leistes loyca,1,Intersección Ruta X-439 y Ruta X-439,CL-AI,23 Oct 2025,L13018785,S281011744,,1
36,5976,species,Least Seedsnipe,Thinocorus rumicivorus,2,Intersección Ruta X-439 y Ruta X-439,CL-AI,23 Oct 2025,L13018785,S281011744,,1
37,606,species,Yellow-billed Pintail,Anas georgica,5,Intersección Ruta X-439 y Ruta X-439,CL-AI,23 Oct 2025,L13018785,S281011744,,1
38,38,species,Lesser Rhea,Rhea pennata,5,Intersección Ruta X-439 y Ruta X-439,CL-AI,23 Oct 2025,L13018785,S281011744,,1
39,6806,species,Chilean Flamingo,Phoenicopterus chilensis,50,Coyhaique Alto,CL-AI,23 Oct 2025,L6354838,S281011692,,1
40,5805,species,Magellanic Oystercatcher,Haematopus leucopodus,1,Coyhaique Alto,CL-AI,23 Oct 2025,L6354838,S281011692,,1
41,401,species,Upland Goose,Chloephaga picta,30,Coyhaique Alto,CL-AI,23 Oct 2025,L6354838,S281011692,,1
42,16712,species,White-crested Elaenia,Elaenia albiceps,1,Puchegüín--Sendero a La Junta,CL-LL,22 Oct 2025,L41904049,S280856365,,1
43,14373,species,Chucao Tapaculo,Scelorchilus rubecula,1,Puchegüín--Sendero a La Junta,CL-LL,22 Oct 2025,L41904049,S280856365,,1
44,1977,species,Chilean Pigeon,Patagioenas araucana,1,Ensenada,CL-LL,21 Oct 2025,L11153127,S280706220,,1
45,409,species,Ashy-headed Goose,Chloephaga poliocephala,1,Candelaria,CL-LL,20 Oct 2025,L11075915,S280530527,,1
46,15887,species,Rufous-tailed Plantcutter,Phytotoma rara,1,Candelaria,CL-LL,20 Oct 2025,L11075915,S280528678,,1
47,16609,species,Tufted Tit-Tyrant,Anairetes parulus,1,Parque Tepuhueico,CL-LL,19 Oct 2025,L7032462,S281011801,,1
48,13079,species,Slender-billed Parakeet,Enicognathus leptorhynchus,100,Sendero Bosquepiedra,CL-LL,19 Oct 2025,L3968290,S280376398,,1
49,7446,species,Imperial Cormorant,Leucocarbo atriceps,40,Punta Pirulil--Sendero al Muelle de las Almas,CL-LL,19 Oct 2025,L22303816,S280375882,,1
